tipo_doc,num_doc,monto_6_meses,ingresos_mensuales,canales_usados,tipo_persona,monto_total
CEDULA DE CIUDADANIA,1159883742389760000,93400000,1787582,"SUCURSAL, CAJERO",PERSONA NATURAL,93400000
CEDULA DE CIUDADANIA,8781863397308300000,150000000,9682657,"CAJERO, SUCURSAL",PERSONA NATURAL,164900000
CEDULA DE CIUDADANIA,7643645045924430000,35938952,3368547,"CAJERO, SUCURSAL",PERSONA NATURAL,78538952
CEDULA DE CIUDADANIA,8172979086077950000,94000000,4401392,"CAJERO, SUCURSAL",PERSONA NATURAL,108500000
CEDULA DE CIUDADANIA,778970308879010000,50027000,6015827,"CAJERO, SUCURSAL",PERSONA NATURAL,69927000
CEDULA DE CIUDADANIA,4441985105596890000,25200000,686816,"SUCURSAL, CAJERO",PERSONA NATURAL,331200000
TARJETA DE IDENTIDAD,4417236632482850000,157280000,8164643,"CAJERO, SUCURSAL",PERSONA NATURAL,157280000
CEDULA DE CIUDADANIA,6449688368891780000,53000000,1547880,"CAJERO, SUCURSAL",PERSONA NATURAL,59000000
CEDULA DE CIUDADANIA,1772002039176510000,90817663,7769530,"SUCURSAL, CAJERO",PERSONA NATURAL,96317663
CEDULA DE CIUDADANIA,7619613882938240000,41375000,3960476,"SUCURSAL, CAJERO",PERSONA NATURAL,78113000
CEDULA DE CIUDADANIA,2155233590926810000,74500000,4870625,"SUCURSAL, CAJERO",PERSONA NATURAL,77100000
CEDULA DE CIUDADANIA,1522923808374190000,148100000,895093,"CAJERO, SUCURSAL",PERSONA NATURAL,198890000
CEDULA DE CIUDADANIA,3995628494021770000,89348193,9761765,"CAJERO, SUCURSAL",PERSONA NATURAL,93684020
NIT,1882107941074540000,1395375443,8588103,"SUCURSAL, CAJERO",PERSONA JURIDICA,2464575443
NIT,5300914837740230000,653060000,8036018,"CAJERO, SUCURSAL",PERSONA JURIDICA,3282348082
CEDULA DE CIUDADANIA,6011546640326490000,58010000,7795358,"CAJERO, SUCURSAL",PERSONA NATURAL,75610000
CEDULA DE CIUDADANIA,2747564326782610000,2526200000,6768696,"CAJERO, SUCURSAL",PERSONA NATURAL,2528200000
CEDULA DE CIUDADANIA,4631720903978910000,28000000,2420504,"CAJERO, SUCURSAL",PERSONA NATURAL,67400000
CEDULA DE CIUDADANIA,425663902883917000,465580000,9070691,"SUCURSAL, CAJERO",PERSONA NATURAL,469140000
CEDULA DE CIUDADANIA,3100154058439670000,106000000,92250,"SUCURSAL, CAJERO",PERSONA NATURAL,106000000
CEDULA DE CIUDADANIA,6157659593218820000,56900000,4613983,"CAJERO, SUCURSAL",PERSONA NATURAL,58300000
CEDULA DE CIUDADANIA,6721291678380930000,302600000,684537,"SUCURSAL, CAJERO",PERSONA NATURAL,380500000
CEDULA DE CIUDADANIA,4737304231789110000,50984000,3912086,"SUCURSAL, CAJERO",PERSONA NATURAL,55644000
CEDULA DE CIUDADANIA,6875769970701440000,5120000,1386048,"SUCURSAL, CAJERO",PERSONA NATURAL,56790000
CEDULA DE CIUDADANIA,8220940194123940000,79200000,1761665,"SUCURSAL, CAJERO",PERSONA NATURAL,131700000
CEDULA DE CIUDADANIA,4126176003067300000,33500000,4108353,"CAJERO, SUCURSAL",PERSONA NATURAL,61080000
CEDULA DE CIUDADANIA,9111354024519750000,52436100,4182738,"CAJERO, SUCURSAL",PERSONA NATURAL,55116100
CEDULA DE CIUDADANIA,8531709993720910000,52000000,9302975,"CAJERO, SUCURSAL",PERSONA NATURAL,62700000
CEDULA DE CIUDADANIA,9068033725408270000,101500000,7795045,"SUCURSAL, CAJERO",PERSONA NATURAL,101500000
NIT,1307286014674710000,3875634956,5638783,SUCURSAL,PERSONA JURIDICA,4654844073
CEDULA DE CIUDADANIA,5944271272924590000,52650000,6776042,CAJERO,PERSONA NATURAL,77280000
CEDULA DE CIUDADANIA,8243612075163850000,45844210,2286271,"SUCURSAL, CAJERO",PERSONA NATURAL,110239922
CEDULA DE CIUDADANIA,3787011891203800000,51660000,7555944,CAJERO,PERSONA NATURAL,72560000
CEDULA DE CIUDADANIA,5773202433125450000,28254000,9681702,"SUCURSAL, CAJERO",PERSONA NATURAL,142254000
CEDULA DE CIUDADANIA,7169414392681740000,279200000,9811683,"CAJERO, SUCURSAL",PERSONA NATURAL,345670000
CEDULA DE CIUDADANIA,4054006654973800000,92260000,2425152,"CAJERO, SUCURSAL",PERSONA NATURAL,123960000
CEDULA DE CIUDADANIA,7844785039182820000,59030000,9896753,"CAJERO, SUCURSAL",PERSONA NATURAL,59130000
CEDULA DE CIUDADANIA,5302197932509030000,42168370,8699210,"CAJERO, SUCURSAL",PERSONA NATURAL,127219002
CEDULA DE CIUDADANIA,7548084601725070000,532500000,539241,SUCURSAL,PERSONA NATURAL,814500000
CEDULA DE CIUDADANIA,5665078206723920000,60980000,9147790,"SUCURSAL, CAJERO",PERSONA NATURAL,60980000
CEDULA DE CIUDADANIA,7008381083963740000,19750000,4723850,"SUCURSAL, CAJERO",PERSONA NATURAL,69564000
CEDULA DE CIUDADANIA,155954967693885000,48700000,9742829,"SUCURSAL, CAJERO",PERSONA NATURAL,119700000
CEDULA DE CIUDADANIA,3211857092180800000,71412000,7292972,"SUCURSAL, CAJERO",PERSONA NATURAL,75983000
CEDULA DE CIUDADANIA,4449374493574570000,53300000,8072862,"CAJERO, SUCURSAL",PERSONA NATURAL,54700000
CEDULA DE CIUDADANIA,6782034222635260000,98290000,3867055,"CAJERO, SUCURSAL",PERSONA NATURAL,199940000
CEDULA DE CIUDADANIA,927559846890907000,80000000,5856120,SUCURSAL,PERSONA NATURAL,80000000
CEDULA DE CIUDADANIA,7513172100259150000,107000000,4948101,SUCURSAL,PERSONA NATURAL,205000000
CEDULA DE CIUDADANIA,5225604449964180000,39693400,4616527,"SUCURSAL, CAJERO",PERSONA NATURAL,54209405
CEDULA DE CIUDADANIA,6679921552173360000,77370000,2455170,"SUCURSAL, CAJERO",PERSONA NATURAL,79720000
CEDULA DE CIUDADANIA,1495830885395050000,96550000,8692467,"CAJERO, SUCURSAL",PERSONA NATURAL,132900000
CEDULA DE CIUDADANIA,7093716425985670000,62269241,1154937,"SUCURSAL, CAJERO",PERSONA NATURAL,74033643
CEDULA DE CIUDADANIA,2863130716393780000,23500000,2090050,"SUCURSAL, CAJERO",PERSONA NATURAL,117030000
CEDULA DE CIUDADANIA,2372466127239080000,49630000,7247376,CAJERO,PERSONA NATURAL,71880000
CEDULA DE CIUDADANIA,7525210847866200000,10050000,4108589,CAJERO,PERSONA NATURAL,74750000
CEDULA DE CIUDADANIA,9210514722305820000,223720000,9535763,"CAJERO, SUCURSAL",PERSONA NATURAL,412113000
CEDULA DE CIUDADANIA,1860379175773750000,52050000,3572974,"CAJERO, SUCURSAL",PERSONA NATURAL,57720000
CEDULA DE CIUDADANIA,7760693384662980000,12782000,1100118,"CAJERO, SUCURSAL",PERSONA NATURAL,104182000
CEDULA DE CIUDADANIA,3171725936476660000,154700000,4859805,"CAJERO, SUCURSAL",PERSONA NATURAL,261520211
CEDULA DE CIUDADANIA,7332035470035790000,42200000,545919,"CAJERO, SUCURSAL",PERSONA NATURAL,54523000
CEDULA DE CIUDADANIA,3922186793061420000,67800000,6423765,"CAJERO, SUCURSAL",PERSONA NATURAL,69250000
CEDULA DE CIUDADANIA,6312313975670580000,6000000,556182,CAJERO,PERSONA NATURAL,203000000
CEDULA DE CIUDADANIA,8424380020482450000,33700000,6222073,CAJERO,PERSONA NATURAL,55800000
CEDULA DE CIUDADANIA,2347504411298330000,34100000,3537680,"CAJERO, SUCURSAL",PERSONA NATURAL,68100000
CEDULA DE CIUDADANIA,1983986197606280000,56100000,3958389,"SUCURSAL, CAJERO",PERSONA NATURAL,63100000
CEDULA DE CIUDADANIA,2294816335611930000,60756000,6664902,"SUCURSAL, CORRESPONSAL, CAJERO",PERSONA NATURAL,77366000
CEDULA DE CIUDADANIA,503648645505447000,45286763,9162369,"CAJERO, SUCURSAL",PERSONA NATURAL,70286763
CEDULA DE CIUDADANIA,2848767726605020000,32800000,9208543,"CAJERO, SUCURSAL",PERSONA NATURAL,84500000
CEDULA DE CIUDADANIA,434843970137505000,14395708,6548937,"CAJERO, SUCURSAL",PERSONA NATURAL,55495708
NIT,5786269111649030000,6319620000,2977818,"CAJERO, SUCURSAL",PERSONA JURIDICA,6319620000
CEDULA DE CIUDADANIA,3422145182671650000,68150000,6014365,"SUCURSAL, CAJERO",PERSONA NATURAL,72050000
CEDULA DE CIUDADANIA,5150149107452860000,83600000,5542025,"SUCURSAL, CAJERO",PERSONA NATURAL,84490000
CEDULA DE CIUDADANIA,1572108690009860000,60000000,2808561,SUCURSAL,PERSONA NATURAL,60000000
CEDULA DE CIUDADANIA,5561588379859120000,52100000,8275070,"SUCURSAL, CAJERO",PERSONA NATURAL,66090000
CEDULA DE CIUDADANIA,4947365042723460000,850000000,4480101,SUCURSAL,PERSONA NATURAL,850000000
CEDULA DE CIUDADANIA,5606624920036060000,46400000,4904224,"CAJERO, SUCURSAL",PERSONA NATURAL,72100000
CEDULA DE CIUDADANIA,2692922988279620000,174936105,8642104,SUCURSAL,PERSONA NATURAL,282626237
TARJETA DE IDENTIDAD,5911036058333750000,198999683,3365452,"SUCURSAL, CAJERO",PERSONA NATURAL,198999683
CEDULA DE CIUDADANIA,156957940797083000,64090400,104315,"SUCURSAL, CAJERO",PERSONA NATURAL,64160400
NIT,8326960742627580000,828000000,7830062,SUCURSAL,PERSONA JURIDICA,1204600000
CEDULA DE CIUDADANIA,9069608522596720000,22320000,4182669,"CAJERO, SUCURSAL",PERSONA NATURAL,74820000
CEDULA DE CIUDADANIA,3501114547502360000,90100000,9697229,"SUCURSAL, CAJERO",PERSONA NATURAL,90200000
CEDULA DE CIUDADANIA,6278900131485160000,91430000,317945,"CAJERO, SUCURSAL",PERSONA NATURAL,92040000
CEDULA DE CIUDADANIA,5756943897683980000,471537000,6264014,"SUCURSAL, CAJERO",PERSONA NATURAL,888637000
CEDULA DE CIUDADANIA,3301458767032240000,44310000,565490,"SUCURSAL, CAJERO",PERSONA NATURAL,82830000
CEDULA DE EXTRANJERIA,5688767331485140000,40850000,8557938,CAJERO,PERSONA NATURAL,57990000
CEDULA DE CIUDADANIA,6515815622987410000,203110000,6109023,"CAJERO, SUCURSAL",PERSONA NATURAL,253940000
CEDULA DE CIUDADANIA,248812244388778000,46800000,7380342,"CAJERO, SUCURSAL",PERSONA NATURAL,59800000
CEDULA DE CIUDADANIA,2158968759396940000,62000000,1711005,SUCURSAL,PERSONA NATURAL,63600000
CEDULA DE CIUDADANIA,6025136264406780000,49320000,7634384,"SUCURSAL, CAJERO",PERSONA NATURAL,101220000
CEDULA DE CIUDADANIA,3865618201700660000,232190000,5471431,"CAJERO, SUCURSAL",PERSONA NATURAL,566030000
CEDULA DE CIUDADANIA,8502934323714980000,73800000,95541,"SUCURSAL, CAJERO",PERSONA NATURAL,81800000
CEDULA DE CIUDADANIA,8070011550791640000,42220000,8146879,"CAJERO, SUCURSAL",PERSONA NATURAL,156184000
CEDULA DE CIUDADANIA,5457286482928350000,162165600,4585721,"SUCURSAL, CAJERO",PERSONA NATURAL,195025600
CEDULA DE CIUDADANIA,511080285180203000,44010000,1315486,"CAJERO, SUCURSAL",PERSONA NATURAL,69260000
NIT,4692411116798840000,690138974,6315723,"CAJERO, SUCURSAL",PERSONA JURIDICA,1199836854
CEDULA DE CIUDADANIA,1265784983388850000,53048000,2136729,"CAJERO, SUCURSAL",PERSONA NATURAL,70008575
CEDULA DE CIUDADANIA,2697368952053580000,87150000,9294541,CAJERO,PERSONA NATURAL,130740000
CEDULA DE CIUDADANIA,2740283039278600000,84920000,8462612,CAJERO,PERSONA NATURAL,84920000
CEDULA DE CIUDADANIA,7741167430185350000,36485000,890754,"SUCURSAL, CAJERO",PERSONA NATURAL,56519673
CEDULA DE CIUDADANIA,4448977421287870000,91490000,6568914,"SUCURSAL, CAJERO",PERSONA NATURAL,92890000
CEDULA DE CIUDADANIA,7820822533797150000,166500000,3434019,SUCURSAL,PERSONA NATURAL,393500000
CEDULA DE CIUDADANIA,5526885767307040000,29025765,3550528,"SUCURSAL, CAJERO",PERSONA NATURAL,95265765
CEDULA DE CIUDADANIA,3410322568259610000,235037713,1964126,"SUCURSAL, CAJERO",PERSONA NATURAL,235737713
NIT,6180579555508670000,1308885264,4353350,"SUCURSAL, CAJERO",PERSONA JURIDICA,2384823500
CEDULA DE CIUDADANIA,9219712365336510000,61100000,4060648,"CAJERO, SUCURSAL",PERSONA NATURAL,63100000
CEDULA DE CIUDADANIA,1863669879966350000,48500000,5330572,"CAJERO, SUCURSAL",PERSONA NATURAL,74900000
CEDULA DE CIUDADANIA,3049024080766590000,41900000,8891791,CAJERO,PERSONA NATURAL,68800000
CEDULA DE CIUDADANIA,4632477609802840000,67135000,5446718,"SUCURSAL, CAJERO",PERSONA NATURAL,139355000
PASAPORTE,8041189583551520000,157010000,4206384,"SUCURSAL, CAJERO",PERSONA NATURAL,157010000
CEDULA DE CIUDADANIA,1868989774162640000,78730000,5857936,"CAJERO, SUCURSAL",PERSONA NATURAL,80430000
CEDULA DE CIUDADANIA,1904058055645120000,30880000,4162839,"SUCURSAL, CORRESPONSAL, CAJERO",PERSONA NATURAL,67380000
CEDULA DE CIUDADANIA,3936557619515430000,32046800,2493697,"SUCURSAL, CAJERO",PERSONA NATURAL,54376800
CEDULA DE CIUDADANIA,4203736898965080000,60130000,6530891,"SUCURSAL, CAJERO",PERSONA NATURAL,60130000
CEDULA DE CIUDADANIA,460733711756432000,59713000,7846941,"SUCURSAL, CAJERO",PERSONA NATURAL,72056000
CEDULA DE CIUDADANIA,3747609099181320000,32464000,8368060,"CAJERO, SUCURSAL",PERSONA NATURAL,57164000
CEDULA DE CIUDADANIA,1912744501451270000,12350000,557354,CAJERO,PERSONA NATURAL,114600000
CEDULA DE CIUDADANIA,3437898449993470000,34200000,5209399,"CAJERO, SUCURSAL",PERSONA NATURAL,63200000
CEDULA DE CIUDADANIA,1497396224636220000,61539291,1585196,"CAJERO, SUCURSAL",PERSONA NATURAL,61539291
CEDULA DE CIUDADANIA,6566116711609630000,70720000,1011450,"CAJERO, SUCURSAL",PERSONA NATURAL,95450000
CEDULA DE CIUDADANIA,4126790734294650000,51040000,8450523,"CAJERO, SUCURSAL",PERSONA NATURAL,60020000
CEDULA DE CIUDADANIA,3813561972707740000,227100000,8752548,"SUCURSAL, CAJERO",PERSONA NATURAL,236100000
CEDULA DE CIUDADANIA,8142228334015150000,56300000,9793723,"SUCURSAL, CAJERO",PERSONA NATURAL,61650000
CEDULA DE CIUDADANIA,7847831054585200000,271095824,6226579,"SUCURSAL, CORRESPONSAL, CAJERO",PERSONA NATURAL,275665824
CEDULA DE CIUDADANIA,8555583251762410000,53720000,3659044,CAJERO,PERSONA NATURAL,105317000
